Date,pop,month_change,month_change_avg,Entries,Exits,Approx Number of New Arrivals (biometric),Inferred number of departures,Vaccine Doses,Cholera cases
2/1/14,4291,,,,,,,,
3/1/14,7894,3925,,,,,,,
5/1/14,31250,11678,,,,,,,
6/1/14,40574,9174,6194,,,,,66529,
7/1/14,40574,0,6951,,,,,,
10/1/14,49612,2996,1510,,,,,,
12/1/14,43718,-2947,7076,,,,,,
2/1/15,52825,4480,6008,,,,,,
3/1/15,74652,23776,5409,,,,,,
4/1/15,76417,1737,6983,,,,,,
5/1/15,76417,0,10468,,,,,,
6/1/15,81422,4924,7938,,,,,146720,
7/1/15,102965,21902,8528,13700,,,,,
8/1/15,114277,11130,8996,,,,,,
9/1/15,119038,4684,9585,,,,,,
10/1/15,121340,2340,7393,,,,,,
11/1/15,129339,7870,3138,,,,,,
12/1/15,140101,10941,1583,1933,384,,,,
2/1/16,119476,-10146,-528,2874,1703,5113,-15259,,
3/1/16,116538,-3090,-4041,,,3782,-6872,,
4/1/16,108190,-8213,-7181,1697,4150,3315,-11528,,
5/1/16,98653,-9696,-4091,,,3309,-13005,,
6/1/16,93817,-4758,-4301,1356,3749,,,,
7/1/16,99034,5304,-1374,2338,2651,,,,
8/1/16,94827,-4139,,1100,2218,,,,
9/1/16,101350,6418,,2490,2416,,,,
10/1/16,101570,224,,,,,,,49
11/1/16,,,,,,,,,316
12/1/16,,,,,,,,,461
1/1/17,,,,,,,,,112
