Date,Cases
10/16/16,1
10/21/16,2
10/22/16,1
10/23/16,2
10/24/16,3
10/25/16,4
10/26/16,6
10/27/16,9
10/28/16,5
10/29/16,10
10/30/16,4
10/31/16,2
11/1/16,6
11/2/16,5
11/3/16,11
11/4/16,7
11/5/16,17
11/6/16,5
11/7/16,4
11/8/16,4
11/9/16,7
11/10/16,9
11/11/16,9
11/12/16,1
11/13/16,5
11/14/16,4
11/15/16,8
11/16/16,4
11/17/16,14
11/18/16,21
11/19/16,15
11/20/16,19
11/21/16,14
11/22/16,10
11/23/16,11
11/24/16,9
11/25/16,14
11/26/16,15
11/27/16,24
11/28/16,17
11/29/16,10
11/30/16,17
12/1/16,11
12/2/16,9
12/3/16,20
12/4/16,19
12/5/16,12
12/6/16,17
12/7/16,27
12/8/16,15
12/9/16,14
12/10/16,14
12/11/16,22
12/12/16,11
12/13/16,18
12/14/16,20
12/15/16,21
12/16/16,12
12/17/16,17
12/18/16,28
12/19/16,22
12/20/16,16
12/21/16,15
12/22/16,16
12/23/16,14
12/24/16,9
12/25/16,12
12/26/16,10
12/27/16,16
12/28/16,12
12/29/16,9
12/30/16,3
12/31/16,0
1/1/17,3
1/2/17,18
1/3/17,18
1/4/17,9
1/5/17,12
1/6/17,13
1/7/17,3
1/8/17,12
1/9/17,6
1/10/17,8
1/11/17,8
1/12/17,1
1/13/17,1
